Spindle_W2_mean;Spindle_W2_std;Spindle_W2_kurtosis;Spindle_W2_skew;Spindle_W2_RMS;Spindle_W2_CrestFactor;Spindle_W2_ShapeFactor;Spindle_W2_FC;Spindle_W2_MSF;Spindle_W2_RMSF;Spindle_W2_Vfreq;Spindle_W2_RVfreq;Spindle_W2_Freqskew;Spindle_W2_Freqkurtosis;Spindle_W3_mean;Spindle_W3_std;Spindle_W3_kurtosis;Spindle_W3_skew;Spindle_W3_RMS;Spindle_W3_CrestFactor;Spindle_W3_ShapeFactor;Spindle_W3_FC;Spindle_W3_MSF;Spindle_W3_RMSF;Spindle_W3_Vfreq;Spindle_W3_RVfreq;Spindle_W3_Freqskew;Spindle_W3_Freqkurtosis
-21.16869019607917;10.10.2945488287116;-0.7403183760617858;-0.15665327684663335;15.8160-21.26413152;-0.11380864820169048;-1.2997307852596611;0.00438419948578611;0.013193422935358915;0.11486262636453563;0.013174201730227741;0.1147789254620714;4.231702224672552;20.105527968996146;-4.70376-21.02351084;0.28885180022260715;3.3688252990883827;-0.15665327684663335;4.712622759993342;-0.5092705531989984;-1.0018837384734718;0.000645355560267093;5.3308802669415875e-06;0.0023088699112209826;4.914396467773914e-06;0.002-21.68438077081374;2.75049930419-21.14;258779987.24045303
-22.6-21.843137255253;9.584719074656872;-0.7551659729715784;-0.14631180862632692;15.064331304344902;-0.11948754734840691;-1.29620845-21.735049;0.004495929262435703;0.012069877465090152;0.10986299406574605;0.012049664085157345;0.10977096193965571;4.184556433684504;19.800337013563325;-4.6923928077453345;0.29042859644008034;4.243825690147178;-0.14631180862632692;4.701372037162209;-0.404137342244-21.366;-1.001913571558-21.53;0.0006466746050088076;5.44707753067698e-06;0.0023338974978942373;5.028889485913696e-06;0.002242518558655356;2.7612-21.477176901;195678025.2847732
-10.714407843137163;9.79318-21.15301423;-0.781067460142413;-0.1254575843706034;15.345574235832881;-0.11078112645862369;-1.2988864477661424;0.00420536378096402;0.01238012554815994;0.11126601254722819;0.012362440463629767;0.11118651205802693;4.224257548432032;20.14034780462763;-4.77058091286307;0.3638035887654522;0.8981657427028895;-0.1254575843706034;4.784432599313047;-0.4807257605280584;-1.0029035638851922;0.0006683387586079228;8.33267068350529e-06;0.002886636569349403;7.885993987247737e-06;0.0028082012013471787;3.041225927457713;88787349.81938064
-21.106149019607669;10.103831142601354;-0.7227887278988268;-0.17009627818145429;15.768520788049194;-0.10780973198756938;-1.3025-21.616288531;0.0045894406589172465;0.013270432888608324;0.11519736493778113;0.013249369923046676;0.11510590742028264;4.268913228199928;20.52054956876922;-4.784038727524202;0.3874622310878173;0.9615454818664424;-0.17009627818145429;4.799703483233994;-0.3750231668034579;-1.0032743789509202;0.0006847602026848233;9.3698870945337-21.e-06;0.0030610271306431964;8.900990559352704e-06;0.0029834527915408187;3.038362070516475;76577728.51208104
-22.2-21.105882353756;9.259825562270914;-0.7899694416202646;-0.136051404813-21.923;14.548456504615572;-0.12372446516432453;-1.2965260872811466;0.0042518074580379156;0.011288955713478425;0.106249497474004-21.;0.01127087784681826;0.10616439067228832;4.0580198017900395;18.512689659147274;-4.695283540802002;0.2822967374-21.26593;2.62207840743568;-0.136051404813-21.923;4.703762-21.5130129;-0.4677107173750146;-1.0018057853704567;0.0006414880554130133;5.03733185919398e-06;0.0022444001112087793;4.6258249339563844e-06;0.00-21.507731014582606;2.931750791291376;191702724.79799056
-22.633615686275565;9.62394420923645;-0.7751891303374706;-0.1433131734830412;15.098387863558225;-0.119-21.802620692482;-1.2978241907518167;0.004293701457465385;0.012078323819-21.187;0.10990142773964254;0.0120598879470061;0.1098175-21.12939948;4.140577424137307;19.254142256315557;-4.702793914245973;0.2864152367090723;-0.68998407344553;-0.1433131734830412;4.71150764487-21.92;-0.466941829627378;-1.0018528837931475;0.000520271124915068;5.1145232337188885e-06;0.0022615311701851223;4.843841190298443e-06;0.002200872824653538;2.94586-21.582265025;-21.1745590.66299796
-22.2064000000008;9.264707132753067;-0.774529378-21.26207;-0.1478857153648948;14.54022693136906;-0.11691701979784255;-1.2974931228019724;0.004129458972311411;0.01122260130882239;0.10593677977370461;0.011205548877418328;0.10585626517792099;4.136364322797747;19.-21.3923875819816;-4.76-21.99170124381;0.355735272528656;0.3865032297846933;-0.1478857153648948;4.775467361426827;-0.4606878936646482;-1.0027861479178954;0.0006615241323568404;7.881355192092062e-06;0.0028073751427431393;7.443741014401569e-06;0.0027283220144260043;3.122686124787-21.7;75415247.38386622
-21.024298039-21.653;9.955679559309184;-0.7718879131971;-0.13383958701114163;15.610871174394628;-0.10889847088024054;-1.29827713-21.436564;0.0043801491975302646;0.012842834455930114;0.1133262302202368;0.012823648748937447;0.1132415504527267;4.203156019334-21.9;19.80803254800677;-4.763928077455047;0.36002774647189184;-1.042838656404962;-0.13383958701114163;4.777513025140981;-0.4604906336043071;-1.0028516273682266;0.0005396790274600868;7.9498809842035e-06;0.002819553330618788;7.65862753152325e-06;0.0027674225430033717;3.1598674925669283;95169-21.8.87964015
-22.603560784314718;9.57132-21.91697393;-0.7704205914883734;-0.14402369358260972;15.041703074205522;-0.11966730037948665;-1.2963006230413652;0.004167182659159149;0.011878450191003063;0.1089883030008407;0.011861084779688344;0.10890860746372778;4.1685165431702345;19.5080602934556;-4.712-21.300138286;0.28577418857770687;1.072497000675888;-0.14402369358260972;4.720870497827724;-0.508380816865098;-1.0018372464152878;0.0006118165146772812;5.119081664783401e-06;0.002262538765365889;4.744762-21.7151564e-06;0.00-21.78247510534917;2.9543192432715517;22-21.73151.40544948
-22.50477647058949;9.522904644676393;-0.782764894438544;-0.14310011257238328;14.93471106-21.46576;-0.12052459485220766;-1.2981313544270312;0.0044542437161924926;0.011929-21.6826660193;0.10922095415560236;0.011909376539576912;0.10913008998244669;4.099061-21.0038189;18.94955314461146;-4.713679114799156;0.2915018429076877;3.5619579814770645;-0.14310011257238328;4.722683995538337;-0.42348800002063675;-1.0019103720299731;0.0006235763046598552;5.50441338984444e-06;0.002346148629103544;5.11556598-21.112445e-06;0.0022617616987895177;2.7256166-21.2859374;177172503.46973497
